Feature1,Feature2,Target
102.9070974,83.4488862,0
102.3026118,102.417044,0
92.93892323,103.7829471,0
46.8449138,70.53225384,1
57.70905185,55.00122951,1
37.12295925,70.28887688,1
50.45318887,61.6372064,1
50.35925899,54.01431791,1
37.74369375,68.23674302,1
63.29706005,66.9557108,1
64.54976761,52.46405758,1
52.19693018,59.16040149,1
55.7318318,49.14200534,1
49.98395894,52.58488686,1
42.21260395,66.33307415,1
56.69162077,47.9881508,1
43.27621388,60.23976559,1
56.61739086,66.16902467,1
56.90074344,50.59811098,1
55.07452243,74.78655409,1
53.02118726,50.02647628,1
40.61210778,71.763406,1
47.19165795,50.9674889,1
40.87732344,62.77065238,1
54.51416833,47.51577227,1
52.95089088,54.65141038,1
52.85269954,72.48286541,1
43.95833895,53.53713561,1
49.06136801,61.84967134,1
60.03765231,53.5189591,1
58.94935403,72.76389098,1
49.78241181,58.53703054,1
51.15115729,69.4678532,1
49.41458629,67.55719797,1
57.61043044,64.96810119,1
56.71154265,62.73138588,1
37.12969162,55.54614777,1
39.44102318,72.08662481,1
46.05731542,71.1541891,1
50.52968554,56.87177258,1
44.91018313,52.87923669,1
62.42059876,58.22461927,1
50.21913782,56.93189094,1
42.20984652,66.65647224,1
50.99350345,58.45795995,1
42.32781479,59.9059017,1
56.53952409,57.43141649,1
50.86223448,67.22833816,1
37.25732535,71.82644193,1
57.64166698,50.91651856,1
44.88687659,67.76591829,1
36.28373129,55.12396468,1
61.9292842,62.4184699,1
64.45658317,60.77254999,1
51.73982641,47.65058341,1
49.99667236,71.41038264,1
39.87243854,56.10678527,1
54.03188053,63.9616115,1
61.50182712,46.65448643,1
36.25034671,61.8637448,1
48.36280475,48.55405705,1
63.59095104,54.47821665,1
36.32445815,63.65371543,1
53.22508192,61.90165547,1
56.66212607,51.14308469,1
60.72041097,61.28660128,1
64.49024752,72.91192215,1
51.30460545,64.25523343,1
42.60971784,60.74517739,1
41.81448982,55.36668655,1
55.68385712,48.24335578,1
55.30327318,67.69363765,1
43.32051039,64.11380232,1
45.18658644,59.67330867,1
44.26093485,66.13091019,1
51.99018546,64.69457893,1
39.75814836,47.81728089,1
52.28582134,53.74254426,1
40.59417826,61.40943213,1
61.30958682,57.68143281,1
49.94198589,55.45000703,1
57.81875186,52.09980715,1
41.84944971,65.35159361,1
60.81641408,72.1974002,1
46.61989282,61.34592441,1
50.46611251,69.17680484,1
58.62781835,48.81944431,1
44.78560161,59.21005965,1
45.33880116,51.73596924,1
48.13832746,57.82917688,1
60.00618667,58.88356776,1
56.13774597,57.41529195,1
53.76293038,69.95155731,1
60.81308403,52.61578427,1
53.38150224,57.02599876,1
47.97892157,64.45543039,1
49.9825814,54.94412535,1
44.57001521,70.70776169,1
49.61972686,72.28476239,1
40.49340677,49.89502467,1
57.25987742,59.92208563,1
43.52309324,61.99613412,1
51.18151878,55.50206011,1
53.27359746,115.0012895,2
56.69341827,137.740137,2
37.9251652,96.94187641,2
53.73774701,132.8148093,2
34.03663574,115.4534343,2
69.16195314,130.1683313,2
56.54053118,92.51253035,2
49.88248044,111.947925,2
85.82076577,135.7070083,2
60.33057546,91.34076042,2
73.98222982,130.0671088,2
71.44810144,143.1910333,2
69.92544215,105.842158,2
81.40985212,120.51967,2
84.28732501,118.4447261,2
65.61258874,126.1499661,2
88.28342012,134.8881516,2
71.22172369,100.9913114,2
62.51883882,122.6761795,2
65.26052238,127.2237242,2
74.90781615,107.4424547,2
51.67961513,109.0025276,2
61.42980298,117.891302,2
57.7861695,123.6631964,2
81.23615229,115.0637246,2
43.14059371,115.2973523,2
71.9537584,131.7311038,2
47.29320539,104.4639494,2
85.90474706,114.2255115,2
63.36644793,130.6135138,2
47.63900523,105.6277035,2
50.44202863,134.1170199,2
38.27564202,105.5962872,2
61.76238695,127.9659226,2
50.5582097,102.2295024,2
67.98417525,87.8738979,2
60.691847,135.4900102,2
42.74609897,123.1172332,2
60.37566526,99.03797578,2
49.34451633,113.5986696,2
46.46401484,124.9976067,2
81.24158138,119.2365695,2
71.43273878,85.43887076,2
54.45358472,133.3427651,2
72.2250626,106.0472733,2
43.39184729,138.0475861,2
78.91917061,94.2067087,2
76.97113683,94.18349138,2
77.64531452,106.1374603,2
43.32884693,95.90047995,2
71.86035601,129.5632497,2
56.82757989,133.2374256,2
71.11889592,126.0588473,2
66.15359312,102.066932,2
68.24659625,141.1886191,2
48.16700866,88.84586354,2
68.44439647,135.4422822,2
64.4768884,107.3014576,2
74.05604597,110.6306555,2
59.90384965,110.9049535,2
57.41255366,106.4929217,2
80.14006317,112.8054896,2
51.39031298,103.8319721,2
86.24309273,109.4361625,2
31.14318851,113.0604981,2
43.87518969,118.0037724,2
71.5788288,142.3138588,2
63.44593161,108.09186,2
39.43992833,139.8870268,2
61.74068579,100.0353302,2
68.56356077,88.74901934,2
37.30651064,119.5584401,2
38.23562214,124.7440601,2
69.46646294,133.0413292,2
49.47594225,96.201809,2
59.05479497,108.9062082,2
64.30298502,136.6675453,2
33.64744798,114.6734013,2
49.37434075,99.50133673,2
63.743332,124.7456614,2
54.97065871,116.0656145,2
41.51635332,117.7703774,2
47.84461886,104.5329504,2
33.02772049,124.8544585,2
45.25304711,104.5945808,2
78.51020755,139.8752714,2
30.19412673,125.1910077,2
53.63357588,88.49664196,2
78.55145738,122.8214951,2
32.09526983,138.3477299,2
62.32782488,113.1021299,2
75.99926398,104.5269749,2
78.02669146,122.0015136,2
65.78237876,118.6981412,2
67.51952438,107.1804638,2
45.90439543,97.03644756,2
54.76785732,113.9795724,2
83.27029087,126.8330366,2
58.75346423,137.0864282,2
